title;short;credits;schedule;campus;Category;faculty;code;teacher;description
Selección karate do femenino;Kf;1;Lunes;CAN;Deporte;VPDH;FCD08;n/a;Lorem ipsum
Selección karate do masculino;Km;1;Jueves;CAN;Deporte;VPDH;FCD09;n/a;Lorem ipsum
Tenis de mesa;Tm;1;Jueves;CAN;Deporte;VPDH;FCD15;n/a;Lorem ipsum
Selección fútbol sala masculina;Fm;1;Jueves;CAN;Deporte;VPDH;FCD07;n/a;Lorem ipsum
Selección voleibol masculina;Vm;1;Miércoles;CHAP;Deporte;VPDH;FCD13;n/a;Lorem ipsum
Fútbol 8;Fo;1;Miércoles;NOR;Deporte;VPDH;FCD14;n/a;Lorem ipsum
Patologías sociales y la paz como terapéutica integral;Ps;3;Martes;CHAP;Humanidades;salud;DH218;n/a;Lorem ipsum
El derecho a la educación en colombia;DeC;3;Martes;CHAP;Humanidades;educ;DH191;n/a;Lorem ipsum
Sociedad de consumo, jóvenes y religión;Jr;3;Jueves;CAN;Humanidades;dfl;DH217;n/a;Lorem ipsum
Relación humano: animales de compañía;Rh;3;Jueves;CAN;Naturaleza y sostenibilidad;agrop;DH224;n/a;Lorem ipsum
Apicultura como alternativa socio-ambiental y profesional;Ap;3;Lunes;NOR;Naturaleza y sostenibilidad;agrop;DH211;n/a;Lorem ipsum
Cine y modernidad;Cm;3;Jueves;CAN;Humanidades;hum;DH152;n/a;Lorem ipsum
Encuentros transnacionales en el arte: américa latina y japón;Jp;3;Lunes;CAN;Humanidades;hum;DH153;n/a;Lorem ipsum
Introducción a la política para gente decente;Pg;3;Lunes;CAN;Humanidades;hum;DH154;n/a;Lorem ipsum
Creación poética;Cpo;3;Lunes;CAN;Humanidades;hum;DH155;n/a;Lorem ipsum
Guerra y civilización;Gc;3;Lunes;CAN;Humanidades;hum;DH156;n/a;Lorem ipsum
Ciudadanía y política;Cp;3;Jueves;CAN;Social;hum;DH157;n/a;Lorem ipsum
Fashion & ideology (ing);Fi;3;Jueves;CAN;Humanidades;hum;DH158;n/a;Lorem ipsum
Cine y política colombiana;Pc;3;Martes;CAN;Humanidades;hum;DH159;n/a;Lorem ipsum
Arte y cultura visual en japón;Av;3;Viernes;CHAP;Humanidades;hum;DH194;n/a;Lorem ipsum
Arte contemporáneo en japón;Aj;3;Martes;CHAP;Humanidades;hum;DH195;n/a;Lorem ipsum
Cuerpo y reconciliación;Cr;3;Lunes;CHAP;Humanidades;hum;DH196;n/a;Lorem ipsum
Narrativa del mal;Nm;3;Viernes;CHAP;Humanidades;hum;DH200;n/a;Lorem ipsum
Cine y literatura de ciencia ficción;Cf;3;Miércoles;CHAP;Humanidades;hum;DH203;n/a;Lorem ipsum
Estrategias para la construcción de memoria histórica en colombia;Mh;3;Miércoles;CHAP;Social;hum;DH204;n/a;Lorem ipsum
Fotografía como crítica social;Ph;3;Sabado;CHAP;Social;hum;DH219;n/a;Lorem ipsum
Music, love and death;Md;3;Sabado;CAN;Social;hum;DH220;n/a;Lorem ipsum
Tecnología y sociedad;Tso;3;Miércoles;CHAP;Social;hum;DH221;n/a;Lorem ipsum
Factores que afectan la biodiversidad colombiana;Fa;3;Lunes;CAN;Naturaleza y sostenibilidad;dcb;DH130;n/a;Lorem ipsum
Comprensión de los componentes del cambio global y del desarrollo humano;Cg;3;Jueves;CAN;Naturaleza y sostenibilidad;dcb;DH131;n/a;Lorem ipsum
Jugando a ser detectives;Jd;3;Jueves;CAN;Naturaleza y sostenibilidad;dcb;DH132;n/a;Lorem ipsum
Biocine: de la ficción a la realidad;Bi;3;Jueves;CAN;Humanidades;dcb;DH133;n/a;Lorem ipsum
A energía del futuro a partir de las reacciones espontáneas producidas por desechos orgánicos;Ef;3;Lunes;CAN;Naturaleza y sostenibilidad;dcb;DH134;n/a;Lorem ipsum
Ilustración y fotografía científica: arte y naturaleza;If;3;Jueves;CAN;Arte;dcb;DH135;n/a;Lorem ipsum
Contaminación electromagnética;Ce;3;Lunes;CAN;Naturaleza y sostenibilidad;dcb;DH136;n/a;Lorem ipsum
Energía e ingeniería nuclear para la sociedad;En;3;Jueves;CAN;Naturaleza y sostenibilidad;dcb;DH137;n/a;Lorem ipsum
Biodiversidad, ritmos y sabores;Br;3;Jueves;CAN;Arte;dcb;DH138;n/a;Lorem ipsum
Durmiendo con el enemigo: el extra√ëo mundo de las enfermedades;De;3;Miércoles;NOR;Naturaleza y sostenibilidad;dcb;DH139;n/a;Lorem ipsum
Colombia a través de su biodiversidad;Cb;3;Martes;CHAP;Naturaleza y sostenibilidad;dcb;DH140;n/a;Lorem ipsum
Ecología urbana;Eu;3;Lunes;CAN;Naturaleza y sostenibilidad;dcb;DH215;n/a;Lorem ipsum
El comportamiento animal: del dicho al hecho;Ca;3;Jueves;CAN;Naturaleza y sostenibilidad;dcb;DH225;n/a;Lorem ipsum
